Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2021-07-05,,,
2021-07-06,,,
2021-07-07,,,
2021-07-08,,,
2021-07-12,,,
2021-07-13,,,
2021-07-14,,,
2021-07-15,,,
2021-07-16,,,
2021-07-19,,,
2021-07-20,,,
2021-07-21,,,
2021-07-22,,,
2021-07-23,,,
2021-07-26,,,
2021-07-27,,,
2021-07-28,,,
2021-07-29,,,
2021-07-30,,,
2021-08-02,7.702500000000001,8.067429697627539,7.3375703023724625
2021-08-03,7.674000000000001,7.979210884816593,7.36878911518341
2021-08-04,7.654000000000001,7.973763070182646,7.334236929817355
2021-08-05,7.658499999999999,7.995500702794831,7.321499297205167
2021-08-06,7.670999999999999,8.040802223101114,7.301197776898885
2021-08-09,7.6775,8.062583722954127,7.292416277045874
2021-08-10,7.683,8.082531304352857,7.2834686956471435
2021-08-11,7.697,8.133208545006678,7.260791454993322
2021-08-12,7.725500000000001,8.217005742323368,7.233994257676636
2021-08-13,7.763000000000001,8.30368572445699,7.222314275543011
2021-08-16,7.797,8.326989076352175,7.267010923647824
2021-08-17,7.8260000000000005,8.351012280558125,7.300987719441875
2021-08-18,7.845999999999999,8.36682525607772,7.325174743922279
2021-08-19,7.8645,8.3731814741125,7.355818525887501
2021-08-20,7.885,8.371166529840181,7.398833470159818
2021-08-23,7.9015,8.390764754504147,7.412235245495854
2021-08-24,7.9305,8.428177765119901,7.432822234880099
2021-08-25,7.954000000000001,8.473611190674035,7.4343888093259665
2021-08-26,7.972500000000001,8.50275812979202,7.442241870207982
2021-08-27,8.019,8.570701673771351,7.46729832622865
2021-08-30,8.0695,8.585658890265396,7.553341109734603
2021-08-31,8.0975,8.557242490851937,7.637757509148064
2021-09-01,8.131,8.458407680841013,7.803592319158987
2021-09-02,8.128499999999999,8.460845729941775,7.796154270058222
2021-09-03,8.121500000000001,8.46986611110788,7.773133888892122
2021-09-06,8.119499999999999,8.472441026831762,7.7665589731682365
2021-09-08,8.0935,8.550873508541756,7.636126491458246
2021-09-09,8.07,8.574046781454602,7.5659532185454
2021-09-10,8.038,8.584128961057063,7.4918710389429375
2021-09-13,8.016,8.556502689997691,7.475497310002309
2021-09-14,7.9990000000000006,8.552263999038056,7.445736000961945
2021-09-15,7.9885,8.543260261165509,7.4337397388344915
2021-09-16,7.978,8.53896158044633,7.41703841955367
2021-09-17,7.952500000000001,8.561238989957715,7.343761010042286
2021-09-20,7.9235,8.58565835282093,7.26134164717907
2021-09-21,7.8965000000000005,8.575610098817409,7.217389901182592
2021-09-22,7.8709999999999996,8.533909059413606,7.208090940586394
2021-09-23,7.8575,8.494990970008285,7.220009029991714
2021-09-24,7.8485,8.469306775600572,7.227693224399428
2021-09-27,7.828,8.378544228349021,7.2774557716509785
2021-09-28,7.808,8.28618076300209,7.32981923699791
2021-09-29,7.811,8.298351596844995,7.323648403155005
2021-09-30,7.814,8.309002392338714,7.318997607661285
2021-10-01,7.835000000000001,8.386686409780811,7.283313590219191
2021-10-04,7.872,8.523753908998431,7.2202460910015684
2021-10-05,7.9159999999999995,8.686547310614174,7.1454526893858255
2021-10-06,7.970999999999999,8.76128042990747,7.180719570092528
2021-10-07,8.0175,8.829952427757112,7.205047572242889
2021-10-08,8.074,8.912178476158116,7.235821523841884
2021-10-11,8.120000000000001,9.003843282131188,7.236156717868815
2021-10-13,8.175999999999998,9.09950362607216,7.252496373927838
2021-10-14,8.225999999999999,9.187257947746218,7.26474205225378
2021-10-15,8.2785,9.256344568425888,7.300655431574111
2021-10-18,8.346,9.26781514301662,7.424184856983381
2021-10-19,8.396,9.195247014053667,7.596752985946336
2021-10-20,8.443499999999998,9.134076418272228,7.752923581727769
2021-10-21,8.4675,9.082945923059487,7.852054076940512
2021-10-22,8.4725,9.07410749575399,7.870892504246011
2021-10-25,8.5045,9.076605069481415,7.932394930518585
2021-10-26,8.529,9.071155541868722,7.986844458131279
2021-10-27,8.555,9.050304265870478,8.059695734129521
2021-10-28,8.5785,9.044627382634967,8.112372617365033
2021-10-29,8.578999999999999,9.043164217764199,8.114835782235799
2021-11-01,8.578999999999999,9.043164217764199,8.114835782235799
2021-11-03,8.55,9.074554949206336,8.025445050793666
2021-11-04,8.499,9.11557457823554,7.882425421764461
2021-11-05,8.4575,9.162217188515712,7.752782811484287
2021-11-08,8.4205,9.180319230579164,7.660680769420838
2021-11-09,8.383500000000002,9.157941054805619,7.609058945194385
2021-11-10,8.3405,9.122386382916014,7.558613617083987
2021-11-11,8.293000000000001,9.057229229871174,7.528770770128828
2021-11-12,8.253,8.97250567826296,7.533494321737039
2021-11-16,8.218,8.881121803529187,7.554878196470814
2021-11-17,8.1755,8.7886360285236,7.562363971476399
2021-11-18,8.1535,8.768822765110446,7.5381772348895515
2021-11-19,8.119,8.732253618008087,7.505746381991913
2021-11-22,8.102500000000001,8.723157546053935,7.481842453946066
2021-11-23,8.112,8.739563374866389,7.484436625133611
2021-11-24,8.102,8.696982529597571,7.50701747040243
2021-11-25,8.1145,8.761744361240716,7.467255638759283
2021-11-26,8.111,8.748326653418719,7.473673346581283
2021-11-29,8.118500000000001,8.785852191401535,7.451147808598467
2021-11-30,8.151,8.884811965015569,7.417188034984432
2021-12-01,8.175,8.967982378512657,7.3820176214873445
2021-12-02,8.247,9.22456087440011,7.26943912559989
2021-12-03,8.3385,9.460045456290707,7.216954543709292
2021-12-06,8.434000000000001,9.657977983978135,7.210022016021867
2021-12-07,8.5335,9.862896776539536,7.204103223460464
2021-12-08,8.625499999999999,10.03975040587809,7.211249594121908
2021-12-09,8.7195,10.179874501355922,7.259125498644077
2021-12-10,8.818999999999999,10.317812161258669,7.32018783874133
2021-12-13,8.9075,10.428951868931033,7.386048131068969
2021-12-14,8.986,10.504897106802394,7.467102893197606
2021-12-15,9.0775,10.553495649686948,7.601504350313053
2021-12-16,9.1765,10.592829949664221,7.76017005033578
2021-12-17,9.270500000000002,10.544573037648641,7.996426962351363
2021-12-20,9.346499999999999,10.439853604861316,8.253146395138682
2021-12-21,9.401500000000002,10.379947212356655,8.42305278764335
2021-12-22,9.4475,10.324813482951507,8.570186517048493
2021-12-23,9.478,10.309044998465048,8.646955001534952
2021-12-27,9.5325,10.228197302598046,8.836802697401955
