Data,Open,High,Low,Close,Volume
2021.07.05 00:00,8.18,8.23,8.00,8.14,55757300
2021.07.06 00:00,8.10,8.12,7.81,7.81,97035400
2021.07.07 00:00,7.94,7.94,7.73,7.91,73364500
2021.07.08 00:00,7.73,7.81,7.69,7.76,80200100
2021.07.12 00:00,7.78,7.84,7.70,7.82,52411700
2021.07.13 00:00,7.78,7.89,7.72,7.87,41201300
2021.07.14 00:00,7.93,7.96,7.77,7.81,51396600
2021.07.15 00:00,7.76,7.79,7.59,7.64,67607200
2021.07.16 00:00,7.68,7.72,7.50,7.53,67461300
2021.07.19 00:00,7.33,7.46,7.30,7.40,82255300
2021.07.20 00:00,7.39,7.60,7.31,7.50,63094600
2021.07.21 00:00,7.56,7.68,7.50,7.61,50123800
2021.07.22 00:00,7.62,7.68,7.54,7.59,37427800
2021.07.23 00:00,7.65,7.67,7.53,7.54,33771100
2021.07.26 00:00,7.54,7.75,7.54,7.75,46397400
2021.07.27 00:00,7.72,7.73,7.59,7.66,51657100
2021.07.28 00:00,7.74,7.87,7.67,7.82,46578000
2021.07.29 00:00,7.84,7.88,7.76,7.85,43599300
2021.07.30 00:00,7.79,7.85,7.57,7.59,73599300
2021.08.02 00:00,7.67,7.73,7.44,7.45,70038500
2021.08.03 00:00,7.44,7.58,7.28,7.57,71526700
2021.08.04 00:00,7.49,7.55,7.32,7.41,87584700
2021.08.05 00:00,8.11,8.18,7.92,8.00,222989400
2021.08.06 00:00,8.04,8.05,7.90,8.01,50795800
2021.08.09 00:00,7.89,7.96,7.81,7.95,75027900
2021.08.10 00:00,7.98,8.12,7.97,7.98,84020600
2021.08.11 00:00,7.94,8.18,7.89,8.09,97606100
2021.08.12 00:00,8.09,8.23,8.04,8.21,94924000
2021.08.13 00:00,8.20,8.35,8.19,8.28,84744500
2021.08.16 00:00,8.24,8.25,7.97,8.08,100685200
2021.08.17 00:00,8.02,8.26,7.91,8.08,92955200
2021.08.18 00:00,8.08,8.16,7.97,8.01,85278600
2021.08.19 00:00,7.85,8.03,7.81,7.96,80252000
2021.08.20 00:00,7.89,7.96,7.82,7.95,84938300
2021.08.23 00:00,8.05,8.16,8.00,8.08,70404500
2021.08.24 00:00,8.16,8.26,8.14,8.24,49604200
2021.08.25 00:00,8.26,8.32,8.18,8.29,45925300
2021.08.26 00:00,8.24,8.33,8.21,8.22,40644500
